All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     lferriphilum.contigs
# misassemblies              1                   
    # relocations            1                   
    # translocations         0                   
    # inversions             0                   
# misassembled contigs       1                   
Misassembled contigs length  2563357             
# local misassemblies        0                   
# unaligned mis. contigs     0                   
# mismatches                 0                   
# indels                     150                 
    # indels (<= 5 bp)       150                 
    # indels (> 5 bp)        0                   
Indels length                153                 
